Id,EUde,EUen,EUit,EUnl,EUru,EUfr,EUes,USen,USfr,USes,JPja,KRko,TWzh,CNzh
ant00,schneuf,ah-CHOO,ett-CCIÙ,ha-TSJOE,апчхи,ATCHOUM,achús,ah-CHOO,ATCHOUM,achús,でごわす,임돠,有的,有的
ant01,schlürrrf,honk,honk,snuit,го-го-го,pouet,fufuf,honk,pouet,fufuf,ホントに,진짜로,真誠,真诚
ant02,schnieef,snooooof,snuuf,snufffff,снуф-снуф,pouuuuuf,snuf-snuf,snooooof,pouuuuuf,snuf-snuf,だっしー,라지요,希希,希希
ant03,puuust,snorty,snorty,snork,хрум-хрум,grognon,esnoink,snorty,grognon,fa-fiú,マジでー,정말,真的假的,真的假的
ant05,schnurz,zoozooroo,oiiinfff,mierakel,пых-пых,bubale,olisquín,zoozooroo,bubale,olisquín,ハフーン,후루룩,粉粉,粉粉
ant06,schnuff,sniffff,sniffff,snuifff,шмыг,snif snif,sniff,sniffff,snif snif,sniff,たもれ,추릅,麻煩了,麻烦了
ant08,schnüffel,gumdrop,chic,dropje,жуй-жуй,tap tap,nubecillas,gumdrop,tap tap,snifffi,をかし,하양하양,優雅,优雅
ant09,mwahaaa,whiffa,swish,toet,уф-уф,tartarin,fruf,whiffa,yesss,fruf,ムーチョ,무쵸,歐啦,欧啦
bea00,gruff,grooof,gruf,grommm,быр-быр,grrrrrr,gruuuf,grooof,grrrrrr,gruuuf,ですたい,입네다,太好了,太好了
bea01,schätzchen,wah,cubetto,wauw,ну и ну,ouah,terronillo,wah,ouah,guah,わぉ,와,哇喔,哇喔
bea02,grumml,fuzzball,grrroan,brombeer,махрово,bouboule,oye,fuzzball,bouboule,gromp,ウム,음,嗯唔,嗯唔
bea03,hiijaa,aiya,ehilà,kiai,ай-яй,lala,ándale-oso,aiya,lala,grinchu,アルヨ,그럼,有喔,有喔
bea05,gäähn,yawwwn,yauuun,gaaaap,спа-а-ать,baaîîîllle,uuaaaah,yawwwn,baaîîîllle,uuaaaah,んだ,힘내,嗯是,嗯是
bea06,brummel,grumble,grum grum,brom,бур-бур,grou-gnon,jorrr,grumble,grou-gnon,jorrr,ワォー,어쩌라구,哇哇,哇哇
bea07,hooonig,twinkles,gnifa,honingbij,ме-е-ед,pic pic,fisflash,twinkles,pic pic,fisflash,ファイト,사르르,加油,加油
bea08,brumbrum,grooomph,gruuunf,oemf,гррум,groumpf,grumf,grooomph,groumpf,grumf,やーねぇ,그라지,呀吶,呀呐
bea09,grrr,grrr,grrr,grrr,грр,canaillou,tostón,grrr,canaillou,grrre,だクマ,냅둬,熊熊,熊熊
bea10,bralala,yodelay,bah,jodelie,йодль,léchouille,borobó,yodelay,tourlou,borobó,ヤッホー,야호야호,耶呼,耶呼
bea11,brrruah,roadie,sgrugno,ja denk,гарр-сон,pot d'miel,tornillos,roadie,pot d'miel,grurrr,ボウズ,터프,施主,施主
